WA_NDB_No,WA_Shrt_Desc, Edible ,Tagname,NutrDesc,Units,Nutr_Val
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,FE,"Iron, Fe",mg,4.1
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,FIBTG,"Fiber, total dietary",g,2.6
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,FOL,Folate,mcg,8.46
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,K,"Potassium, K",mg,111
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,MG,"Magnesium, Mg",mg,180.78
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,NA,"Sodium, Na",mg,2.5
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,NIA,Niacin,mg,0.6
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,P,"Phosphorus, P",mg,95
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,PROCNT,Protein,g,3.74
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,RETOL,Retinol,mcg,0
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,RIBF,Riboflavin,mg,0.03
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,THIA,Thiamin,mg,0.07
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,VITA_RAE,"Vitamin A, RAE",mcg,0
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,VITB12,Vitamin B-12,mcg,0
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,VITB6A,Vitamin B-6,mg,0.19
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,VITD,Vitamin D,mcg,0
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,VITE,Vitamin E,mg,0.02
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,WATER,Water,g,62.63
01_049,"Fonio, black, whole grain, boiled* (without salt)",100,ZN,"Zinc, Zn",mg,1.54
01_002,"Fonio, black, whole grain, raw",100,ASH,Ash,g,2.2
01_002,"Fonio, black, whole grain, raw",100,CA,"Calcium, Ca",mg,51
01_002,"Fonio, black, whole grain, raw",100,CARTB,"Carotene, beta",mcg,
01_002,"Fonio, black, whole grain, raw",100,CARTBEQ,"Carotene equivalent, beta",mcg,0
01_002,"Fonio, black, whole grain, raw",100,CHOCDF,Carbohydrate,g,69.4
01_002,"Fonio, black, whole grain, raw",100,CU,"Copper, Cu",mg,0.44
01_002,"Fonio, black, whole grain, raw",100,ENERC_KCAL,Energy,kcal,353
01_002,"Fonio, black, whole grain, raw",100,ENERC_KJ,Energy,kJ,1490
01_002,"Fonio, black, whole grain, raw",100,FAT,Total lipid (fat),g,3
01_002,"Fonio, black, whole grain, raw",100,FE,"Iron, Fe",mg,10
01_002,"Fonio, black, whole grain, raw",100,FIBTG,"Fiber, total dietary",g,6.2
01_002,"Fonio, black, whole grain, raw",100,FOL,Folate,mcg,29
01_002,"Fonio, black, whole grain, raw",100,K,"Potassium, K",mg,340
01_002,"Fonio, black, whole grain, raw",100,MG,"Magnesium, Mg",mg,433.87
01_002,"Fonio, black, whole grain, raw",100,NA,"Sodium, Na",mg,7.5
01_002,"Fonio, black, whole grain, raw",100,NIA,Niacin,mg,1.72
01_002,"Fonio, black, whole grain, raw",100,P,"Phosphorus, P",mg,234
01_002,"Fonio, black, whole grain, raw",100,PROCNT,Protein,g,8.9
01_002,"Fonio, black, whole grain, raw",100,RETOL,Retinol,mcg,0
01_002,"Fonio, black, whole grain, raw",100,RIBF,Riboflavin,mg,0.1
01_002,"Fonio, black, whole grain, raw",100,THIA,Thiamin,mg,0.26
01_002,"Fonio, black, whole grain, raw",100,VITA_RAE,"Vitamin A, RAE",mcg,0
01_002,"Fonio, black, whole grain, raw",100,VITB12,Vitamin B-12,mcg,0
01_002,"Fonio, black, whole grain, raw",100,VITB6A,Vitamin B-6,mg,0.74
01_002,"Fonio, black, whole grain, raw",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_002,"Fonio, black, whole grain, raw",100,VITD,Vitamin D,mcg,0
01_002,"Fonio, black, whole grain, raw",100,VITE,Vitamin E,mg,0.05
01_002,"Fonio, black, whole grain, raw",100,WATER,Water,g,10.3
01_002,"Fonio, black, whole grain, raw",100,ZN,"Zinc, Zn",mg,3.8
01_051,"Fonio, husked grains, boiled* (without salt)",100,ASH,Ash,g,0.51
01_051,"Fonio, husked grains, boiled* (without salt)",100,CA,"Calcium, Ca",mg,11.53
01_051,"Fonio, husked grains, boiled* (without salt)",100,CARTB,"Carotene, beta",mcg,
01_051,"Fonio, husked grains, boiled* (without salt)",100,CARTBEQ,"Carotene equivalent, beta",mcg,0
01_051,"Fonio, husked grains, boiled* (without salt)",100,CHOCDF,Carbohydrate,g,31.67
01_051,"Fonio, husked grains, boiled* (without salt)",100,CU,"Copper, Cu",mg,0.18
01_051,"Fonio, husked grains, boiled* (without salt)",100,ENERC_KCAL,Energy,kcal,145
01_051,"Fonio, husked grains, boiled* (without salt)",100,ENERC_KJ,Energy,kJ,614
01_051,"Fonio, husked grains, boiled* (without salt)",100,FAT,Total lipid (fat),g,0.51
01_051,"Fonio, husked grains, boiled* (without salt)",100,FE,"Iron, Fe",mg,0.73
01_051,"Fonio, husked grains, boiled* (without salt)",100,FIBTG,"Fiber, total dietary",g,0.93
01_051,"Fonio, husked grains, boiled* (without salt)",100,FOL,Folate,mcg,8.46
01_051,"Fonio, husked grains, boiled* (without salt)",100,K,"Potassium, K",mg,58
01_051,"Fonio, husked grains, boiled* (without salt)",100,MG,"Magnesium, Mg",mg,50.46
01_051,"Fonio, husked grains, boiled* (without salt)",100,NA,"Sodium, Na",mg,4.61
01_051,"Fonio, husked grains, boiled* (without salt)",100,NIA,Niacin,mg,0.36
01_051,"Fonio, husked grains, boiled* (without salt)",100,P,"Phosphorus, P",mg,42
01_051,"Fonio, husked grains, boiled* (without salt)",100,PROCNT,Protein,g,2.89
01_051,"Fonio, husked grains, boiled* (without salt)",100,RETOL,Retinol,mcg,0
01_051,"Fonio, husked grains, boiled* (without salt)",100,RIBF,Riboflavin,mg,0.07
01_051,"Fonio, husked grains, boiled* (without salt)",100,THIA,Thiamin,mg,0.05
01_051,"Fonio, husked grains, boiled* (without salt)",100,VITA_RAE,"Vitamin A, RAE",mcg,0.04
01_051,"Fonio, husked grains, boiled* (without salt)",100,VITB12,Vitamin B-12,mcg,0
01_051,"Fonio, husked grains, boiled* (without salt)",100,VITB6A,Vitamin B-6,mg,0.19
01_051,"Fonio, husked grains, boiled* (without salt)",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_051,"Fonio, husked grains, boiled* (without salt)",100,VITD,Vitamin D,mcg,0
01_051,"Fonio, husked grains, boiled* (without salt)",100,VITE,Vitamin E,mg,0.02
01_051,"Fonio, husked grains, boiled* (without salt)",100,WATER,Water,g,63.49
01_051,"Fonio, husked grains, boiled* (without salt)",100,ZN,"Zinc, Zn",mg,0.82
01_050,"Fonio, husked grains, raw (bran removed)",100,ASH,Ash,g,1.21
01_050,"Fonio, husked grains, raw (bran removed)",100,CA,"Calcium, Ca",mg,27.68
01_050,"Fonio, husked grains, raw (bran removed)",100,CARTB,"Carotene, beta",mcg,1
01_050,"Fonio, husked grains, raw (bran removed)",100,CARTBEQ,"Carotene equivalent, beta",mcg,
01_050,"Fonio, husked grains, raw (bran removed)",100,CHOCDF,Carbohydrate,g,76.1
01_050,"Fonio, husked grains, raw (bran removed)",100,CU,"Copper, Cu",mg,0.43
01_050,"Fonio, husked grains, raw (bran removed)",100,ENERC_KCAL,Energy,kcal,347
01_050,"Fonio, husked grains, raw (bran removed)",100,ENERC_KJ,Energy,kJ,1470
01_050,"Fonio, husked grains, raw (bran removed)",100,FAT,Total lipid (fat),g,1.21
01_050,"Fonio, husked grains, raw (bran removed)",100,FE,"Iron, Fe",mg,1.75
01_050,"Fonio, husked grains, raw (bran removed)",100,FIBTG,"Fiber, total dietary",g,2.24
01_050,"Fonio, husked grains, raw (bran removed)",100,FOL,Folate,mcg,29
01_050,"Fonio, husked grains, raw (bran removed)",100,K,"Potassium, K",mg,178
01_050,"Fonio, husked grains, raw (bran removed)",100,MG,"Magnesium, Mg",mg,121.1
01_050,"Fonio, husked grains, raw (bran removed)",100,NA,"Sodium, Na",mg,13.84
01_050,"Fonio, husked grains, raw (bran removed)",100,NIA,Niacin,mg,1.15
01_050,"Fonio, husked grains, raw (bran removed)",100,P,"Phosphorus, P",mg,103.8
01_050,"Fonio, husked grains, raw (bran removed)",100,PROCNT,Protein,g,6.94
01_050,"Fonio, husked grains, raw (bran removed)",100,RETOL,Retinol,mcg,0
01_050,"Fonio, husked grains, raw (bran removed)",100,RIBF,Riboflavin,mg,0.22
01_050,"Fonio, husked grains, raw (bran removed)",100,THIA,Thiamin,mg,0.17
01_050,"Fonio, husked grains, raw (bran removed)",100,VITA_RAE,"Vitamin A, RAE",mcg,0.11
01_050,"Fonio, husked grains, raw (bran removed)",100,VITB12,Vitamin B-12,mcg,0
01_050,"Fonio, husked grains, raw (bran removed)",100,VITB6A,Vitamin B-6,mg,0.74
01_050,"Fonio, husked grains, raw (bran removed)",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_050,"Fonio, husked grains, raw (bran removed)",100,VITD,Vitamin D,mcg,0
01_050,"Fonio, husked grains, raw (bran removed)",100,VITE,Vitamin E,mg,0.05
01_050,"Fonio, husked grains, raw (bran removed)",100,WATER,Water,g,12.38
01_050,"Fonio, husked grains, raw (bran removed)",100,ZN,"Zinc, Zn",mg,2.02
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,ASH,Ash,g,0.9
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,CA,"Calcium, Ca",mg,16.67
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,CARTB,"Carotene, beta",mcg,
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,CARTBEQ,"Carotene equivalent, beta",mcg,0
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,CHOCDF,Carbohydrate,g,28.9
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,CU,"Copper, Cu",mg,0.18
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,ENERC_KCAL,Energy,kcal,145
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,ENERC_KJ,Energy,kJ,613
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,FAT,Total lipid (fat),g,1.3
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,FE,"Iron, Fe",mg,3.5
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,FIBTG,"Fiber, total dietary",g,3.1
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,FOL,Folate,mcg,8.52
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,K,"Potassium, K",mg,110
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,MG,"Magnesium, Mg",mg,179.17
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,NA,"Sodium, Na",mg,2.48
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,NIA,Niacin,mg,0.57
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,P,"Phosphorus, P",mg,77
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,PROCNT,Protein,g,2.93
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,RETOL,Retinol,mcg,0
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,RIBF,Riboflavin,mg,0.03
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,THIA,Thiamin,mg,0.07
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,VITA_RAE,"Vitamin A, RAE",mcg,0
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,VITB12,Vitamin B-12,mcg,0
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,VITB6A,Vitamin B-6,mg,0.19
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,VITD,Vitamin D,mcg,0
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,VITE,Vitamin E,mg,0.02
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,WATER,Water,g,62.96
01_003,"Fonio, white, whole grain, boiled* (without salt)",100,ZN,"Zinc, Zn",mg,0.61
01_001,"Fonio, white, whole grain, raw",100,ASH,Ash,g,2.1
01_001,"Fonio, white, whole grain, raw",100,CA,"Calcium, Ca",mg,40
01_001,"Fonio, white, whole grain, raw",100,CARTB,"Carotene, beta",mcg,
01_001,"Fonio, white, whole grain, raw",100,CARTBEQ,"Carotene equivalent, beta",mcg,0
01_001,"Fonio, white, whole grain, raw",100,CHOCDF,Carbohydrate,g,69.3
01_001,"Fonio, white, whole grain, raw",100,CU,"Copper, Cu",mg,0.44
01_001,"Fonio, white, whole grain, raw",100,ENERC_KCAL,Energy,kcal,348
01_001,"Fonio, white, whole grain, raw",100,ENERC_KJ,Energy,kJ,1470
01_001,"Fonio, white, whole grain, raw",100,FAT,Total lipid (fat),g,3.1
01_001,"Fonio, white, whole grain, raw",100,FE,"Iron, Fe",mg,8.5
01_001,"Fonio, white, whole grain, raw",100,FIBTG,"Fiber, total dietary",g,7.4
01_001,"Fonio, white, whole grain, raw",100,FOL,Folate,mcg,29.21
01_001,"Fonio, white, whole grain, raw",100,K,"Potassium, K",mg,336.97
01_001,"Fonio, white, whole grain, raw",100,MG,"Magnesium, Mg",mg,430
01_001,"Fonio, white, whole grain, raw",100,NA,"Sodium, Na",mg,7.43
01_001,"Fonio, white, whole grain, raw",100,NIA,Niacin,mg,1.7
01_001,"Fonio, white, whole grain, raw",100,P,"Phosphorus, P",mg,191
01_001,"Fonio, white, whole grain, raw",100,PROCNT,Protein,g,7.03
01_001,"Fonio, white, whole grain, raw",100,RETOL,Retinol,mcg,0
01_001,"Fonio, white, whole grain, raw",100,RIBF,Riboflavin,mg,0.1
01_001,"Fonio, white, whole grain, raw",100,THIA,Thiamin,mg,0.25
01_001,"Fonio, white, whole grain, raw",100,VITA_RAE,"Vitamin A, RAE",mcg,0
01_001,"Fonio, white, whole grain, raw",100,VITB12,Vitamin B-12,mcg,0
01_001,"Fonio, white, whole grain, raw",100,VITB6A,Vitamin B-6,mg,0.73
01_001,"Fonio, white, whole grain, raw",100,VITC,"Vitamin C, total ascorbic acid",mg,0
01_001,"Fonio, white, whole grain, raw",100,VITD,Vitamin D,mcg,0
01_001,"Fonio, white, whole grain, raw",100,VITE,Vitamin E,mg,0.05
01_001,"Fonio, white, whole grain, raw",100,WATER,Water,g,11.1
01_001,"Fonio, white, whole grain, raw",100,ZN,"Zinc, Zn",mg,1.5
11_004,"Palm oil, red",100,ASH,Ash,g,0
11_004,"Palm oil, red",100,CA,"Calcium, Ca",mg,0
11_004,"Palm oil, red",100,CARTB,"Carotene, beta",mcg,
11_004,"Palm oil, red",100,CARTBEQ,"Carotene equivalent, beta",mcg,30000
11_004,"Palm oil, red",100,CHOCDF,Carbohydrate,g,0
11_004,"Palm oil, red",100,CU,"Copper, Cu",mg,0
11_004,"Palm oil, red",100,ENERC_KCAL,Energy,kcal,900
11_004,"Palm oil, red",100,ENERC_KJ,Energy,kJ,3700
11_004,"Palm oil, red",100,FAT,Total lipid (fat),g,100
11_004,"Palm oil, red",100,FE,"Iron, Fe",mg,0.01
11_004,"Palm oil, red",100,FIBTG,"Fiber, total dietary",g,0
11_004,"Palm oil, red",100,FOL,Folate,mcg,0
