Country,Code_FdGp,Crop,Tagname,Desc,Units,Values
Albania,2511,Wheat,ZN,ZINC,mg/kg,0
Albania,2511,Wheat,VITB12,B12,mg/kg,0
Albania,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Albania,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Albania,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Albania,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Albania,2511,Wheat,VITD,VIT. D,IU/kg,0
Albania,2514,Maize,FE,IRON,mg/kg,0
Albania,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Albania,2514,Maize,ZN,ZINC,mg/kg,0
Albania,2514,Maize,VITB12,B12,mg/kg,0
Albania,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Albania,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Albania,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Albania,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Albania,2514,Maize,VITD,VIT. D,IU/kg,0
Albania,2805,Rice,FE,IRON,mg/kg,0
Albania,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Albania,2805,Rice,ZN,ZINC,mg/kg,0
Albania,2805,Rice,VITB12,B12,mg/kg,0
Albania,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Albania,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Albania,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Albania,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Albania,2805,Rice,VITD,VIT. D,IU/kg,0
Albania,2848,Milk,FE,IRON,mg/kg,0
Albania,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Albania,2848,Milk,ZN,ZINC,mg/kg,0
Albania,2848,Milk,VITB12,B12,mg/kg,0
Albania,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Albania,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Albania,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Albania,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Albania,2848,Milk,VITD,VIT. D,IU/kg,0
Albania,2542,Sugar,FE,IRON,mg/kg,0
Albania,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Albania,2542,Sugar,ZN,ZINC,mg/kg,0
Albania,2542,Sugar,VITB12,B12,mg/kg,0
Albania,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Albania,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Albania,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Albania,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Albania,2542,Sugar,VITD,VIT. D,IU/kg,0
Albania,2586,Margarine,FE,IRON,mg/kg,0
Albania,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Albania,2586,Margarine,ZN,ZINC,mg/kg,0
Albania,2586,Margarine,VITB12,B12,mg/kg,0
Albania,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Albania,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Albania,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Albania,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Albania,2586,Margarine,VITD,VIT. D,IU/kg,0
Albania,2570000,Cooking Oil,FE,IRON,mg/kg,0
Albania,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Albania,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Albania,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Albania,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Albania,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Albania,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Albania,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Albania,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Algeria ,2511,Wheat,FE,IRON,mg/kg,0
Algeria ,2511,Wheat,FOL,FOLIC ACID,mg/kg,0
Algeria ,2511,Wheat,ZN,ZINC,mg/kg,0
Algeria ,2511,Wheat,VITB12,B12,mg/kg,0
Algeria ,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Algeria ,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Algeria ,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Algeria ,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Algeria ,2511,Wheat,VITD,VIT. D,IU/kg,0
Algeria ,2514,Maize,FE,IRON,mg/kg,0
Algeria ,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Algeria ,2514,Maize,ZN,ZINC,mg/kg,0
Algeria ,2514,Maize,VITB12,B12,mg/kg,0
Algeria ,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Algeria ,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Algeria ,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Algeria ,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Algeria ,2514,Maize,VITD,VIT. D,IU/kg,0
Algeria ,2805,Rice,FE,IRON,mg/kg,0
Algeria ,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Algeria ,2805,Rice,ZN,ZINC,mg/kg,0
Algeria ,2805,Rice,VITB12,B12,mg/kg,0
Algeria ,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Algeria ,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Algeria ,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Algeria ,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Algeria ,2805,Rice,VITD,VIT. D,IU/kg,0
Algeria ,2848,Milk,FE,IRON,mg/kg,0
Algeria ,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Algeria ,2848,Milk,ZN,ZINC,mg/kg,0
Algeria ,2848,Milk,VITB12,B12,mg/kg,0
Algeria ,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Algeria ,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Algeria ,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Algeria ,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Algeria ,2848,Milk,VITD,VIT. D,IU/kg,0
Algeria ,2542,Sugar,FE,IRON,mg/kg,0
Algeria ,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Algeria ,2542,Sugar,ZN,ZINC,mg/kg,0
Algeria ,2542,Sugar,VITB12,B12,mg/kg,0
Algeria ,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Algeria ,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Algeria ,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Algeria ,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Algeria ,2542,Sugar,VITD,VIT. D,IU/kg,0
Algeria ,2586,Margarine,FE,IRON,mg/kg,0
Algeria ,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Algeria ,2586,Margarine,ZN,ZINC,mg/kg,0
Algeria ,2586,Margarine,VITB12,B12,mg/kg,0
Algeria ,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Algeria ,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Algeria ,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Algeria ,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Algeria ,2586,Margarine,VITD,VIT. D,IU/kg,0
Algeria ,2570000,Cooking Oil,FE,IRON,mg/kg,0
Algeria ,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Algeria ,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Algeria ,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Algeria ,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Algeria ,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Algeria ,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Algeria ,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Algeria ,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Angola,2511,Wheat,FE,IRON,mg/kg,0
Angola,2511,Wheat,FOL,FOLIC ACID,mg/kg,0
Angola,2511,Wheat,ZN,ZINC,mg/kg,0
Angola,2511,Wheat,VITB12,B12,mg/kg,0
Angola,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Angola,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Angola,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Angola,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Angola,2511,Wheat,VITD,VIT. D,IU/kg,0
Angola,2514,Maize,FE,IRON,mg/kg,0
Angola,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Angola,2514,Maize,ZN,ZINC,mg/kg,0
Angola,2514,Maize,VITB12,B12,mg/kg,0
Angola,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Angola,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Angola,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Angola,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Angola,2514,Maize,VITD,VIT. D,IU/kg,0
Angola,2805,Rice,FE,IRON,mg/kg,0
Angola,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Angola,2805,Rice,ZN,ZINC,mg/kg,0
Angola,2805,Rice,VITB12,B12,mg/kg,0
Angola,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Angola,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Angola,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Angola,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Angola,2805,Rice,VITD,VIT. D,IU/kg,0
Angola,2848,Milk,FE,IRON,mg/kg,0
Angola,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Angola,2848,Milk,ZN,ZINC,mg/kg,0
Angola,2848,Milk,VITB12,B12,mg/kg,0
Angola,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Angola,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Angola,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Angola,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Angola,2848,Milk,VITD,VIT. D,IU/kg,0
Angola,2542,Sugar,FE,IRON,mg/kg,0
Angola,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Angola,2542,Sugar,ZN,ZINC,mg/kg,0
Angola,2542,Sugar,VITB12,B12,mg/kg,0
Angola,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Angola,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Angola,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Angola,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Angola,2542,Sugar,VITD,VIT. D,IU/kg,0
Angola,2586,Margarine,FE,IRON,mg/kg,0
Angola,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Angola,2586,Margarine,ZN,ZINC,mg/kg,0
Angola,2586,Margarine,VITB12,B12,mg/kg,0
Angola,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Angola,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Angola,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Angola,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Angola,2586,Margarine,VITD,VIT. D,IU/kg,0
Angola,2570000,Cooking Oil,FE,IRON,mg/kg,0
Angola,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Angola,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Angola,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Angola,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Angola,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Angola,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Angola,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Angola,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Antigua and Barbuda,2511,Wheat,FE,IRON,mg/kg,29
Antigua and Barbuda,2511,Wheat,FOL,FOLIC ACID,mg/kg,0
Antigua and Barbuda,2511,Wheat,ZN,ZINC,mg/kg,0
Antigua and Barbuda,2511,Wheat,VITB12,B12,mg/kg,0
Antigua and Barbuda,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Antigua and Barbuda,2511,Wheat,THIA,THIAMIN (B1),mg/kg,6.05
Antigua and Barbuda,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Antigua and Barbuda,2511,Wheat,NIA,NIACIN (B3),mg/kg,50
Antigua and Barbuda,2511,Wheat,VITD,VIT. D,IU/kg,0
Antigua and Barbuda,2514,Maize,FE,IRON,mg/kg,0
Antigua and Barbuda,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Antigua and Barbuda,2514,Maize,ZN,ZINC,mg/kg,0
Antigua and Barbuda,2514,Maize,VITB12,B12,mg/kg,0
Antigua and Barbuda,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Antigua and Barbuda,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Antigua and Barbuda,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Antigua and Barbuda,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Antigua and Barbuda,2514,Maize,VITD,VIT. D,IU/kg,0
Antigua and Barbuda,2805,Rice,FE,IRON,mg/kg,0
Antigua and Barbuda,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Antigua and Barbuda,2805,Rice,ZN,ZINC,mg/kg,0
Antigua and Barbuda,2805,Rice,VITB12,B12,mg/kg,0
Antigua and Barbuda,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Antigua and Barbuda,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Antigua and Barbuda,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Antigua and Barbuda,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Antigua and Barbuda,2805,Rice,VITD,VIT. D,IU/kg,0
Antigua and Barbuda,2848,Milk,FE,IRON,mg/kg,0
Antigua and Barbuda,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Antigua and Barbuda,2848,Milk,ZN,ZINC,mg/kg,0
Antigua and Barbuda,2848,Milk,VITB12,B12,mg/kg,0
Antigua and Barbuda,2848,Milk,VITA_RAE,VIT. A,IU/kg,0
Antigua and Barbuda,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Antigua and Barbuda,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Antigua and Barbuda,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Antigua and Barbuda,2848,Milk,VITD,VIT. D,IU/kg,0
Antigua and Barbuda,2542,Sugar,FE,IRON,mg/kg,0
Antigua and Barbuda,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Antigua and Barbuda,2542,Sugar,ZN,ZINC,mg/kg,0
Antigua and Barbuda,2542,Sugar,VITB12,B12,mg/kg,0
Antigua and Barbuda,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Antigua and Barbuda,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Antigua and Barbuda,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Antigua and Barbuda,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Antigua and Barbuda,2542,Sugar,VITD,VIT. D,IU/kg,0
Antigua and Barbuda,2586,Margarine,FE,IRON,mg/kg,0
Antigua and Barbuda,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Antigua and Barbuda,2586,Margarine,ZN,ZINC,mg/kg,0
Antigua and Barbuda,2586,Margarine,VITB12,B12,mg/kg,0
Antigua and Barbuda,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Antigua and Barbuda,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Antigua and Barbuda,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Antigua and Barbuda,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Antigua and Barbuda,2586,Margarine,VITD,VIT. D,IU/kg,0
Antigua and Barbuda,2570000,Cooking Oil,FE,IRON,mg/kg,0
Antigua and Barbuda,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Antigua and Barbuda,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Antigua and Barbuda,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Antigua and Barbuda,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Antigua and Barbuda,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Antigua and Barbuda,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Antigua and Barbuda,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Antigua and Barbuda,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Argentina,2511,Wheat,FE,IRON,mg/kg,30
Argentina,2511,Wheat,FOL,FOLIC ACID,mg/kg,2.2
Argentina,2511,Wheat,ZN,ZINC,mg/kg,0
Argentina,2511,Wheat,VITB12,B12,mg/kg,0
Argentina,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Argentina,2511,Wheat,THIA,THIAMIN (B1),mg/kg,6.3
Argentina,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Argentina,2511,Wheat,NIA,NIACIN (B3),mg/kg,13
Argentina,2511,Wheat,VITD,VIT. D,IU/kg,0
Argentina,2514,Maize,FE,IRON,mg/kg,0
Argentina,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Argentina,2514,Maize,ZN,ZINC,mg/kg,0
Argentina,2514,Maize,VITB12,B12,mg/kg,0
Argentina,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Argentina,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Argentina,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Argentina,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Argentina,2514,Maize,VITD,VIT. D,IU/kg,0
Argentina,2805,Rice,FE,IRON,mg/kg,0
Argentina,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Argentina,2805,Rice,ZN,ZINC,mg/kg,0
Argentina,2805,Rice,VITB12,B12,mg/kg,0
Argentina,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Argentina,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Argentina,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Argentina,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Argentina,2805,Rice,VITD,VIT. D,IU/kg,0
Argentina,2848,Milk,FE,IRON,mg/kg,0
Argentina,2848,Milk,FOL,FOLIC ACID,mg/kg,0
Argentina,2848,Milk,ZN,ZINC,mg/kg,0
Argentina,2848,Milk,VITB12,B12,mg/kg,0
Argentina,2848,Milk,VITA_RAE,VIT. A,IU/kg,2500
Argentina,2848,Milk,THIA,THIAMIN (B1),mg/kg,0
Argentina,2848,Milk,RIBF,RIBOFLAVIN (B3),mg/kg,0
Argentina,2848,Milk,NIA,NIACIN (B3),mg/kg,0
Argentina,2848,Milk,VITD,VIT. D,IU/kg,400
Argentina,2542,Sugar,FE,IRON,mg/kg,0
Argentina,2542,Sugar,FOL,FOLIC ACID,mg/kg,0
Argentina,2542,Sugar,ZN,ZINC,mg/kg,0
Argentina,2542,Sugar,VITB12,B12,mg/kg,0
Argentina,2542,Sugar,VITA_RAE,VIT. A,IU/kg,0
Argentina,2542,Sugar,THIA,THIAMIN (B1),mg/kg,0
Argentina,2542,Sugar,RIBF,RIBOFLAVIN (B3),mg/kg,0
Argentina,2542,Sugar,NIA,NIACIN (B3),mg/kg,0
Argentina,2542,Sugar,VITD,VIT. D,IU/kg,0
Argentina,2586,Margarine,FE,IRON,mg/kg,0
Argentina,2586,Margarine,FOL,FOLIC ACID,mg/kg,0
Argentina,2586,Margarine,ZN,ZINC,mg/kg,0
Argentina,2586,Margarine,VITB12,B12,mg/kg,0
Argentina,2586,Margarine,VITA_RAE,VIT. A,IU/kg,0
Argentina,2586,Margarine,THIA,THIAMIN (B1),mg/kg,0
Argentina,2586,Margarine,RIBF,RIBOFLAVIN (B3),mg/kg,0
Argentina,2586,Margarine,NIA,NIACIN (B3),mg/kg,0
Argentina,2586,Margarine,VITD,VIT. D,IU/kg,0
Argentina,2570000,Cooking Oil,FE,IRON,mg/kg,0
Argentina,2570000,Cooking Oil,FOL,FOLIC ACID,mg/kg,0
Argentina,2570000,Cooking Oil,ZN,ZINC,mg/kg,0
Argentina,2570000,Cooking Oil,VITB12,B12,mg/kg,0
Argentina,2570000,Cooking Oil,VITA_RAE,VIT. A,IU/kg,0
Argentina,2570000,Cooking Oil,THIA,THIAMIN (B1),mg/kg,0
Argentina,2570000,Cooking Oil,RIBF,RIBOFLAVIN (B3),mg/kg,0
Argentina,2570000,Cooking Oil,NIA,NIACIN (B3),mg/kg,0
Argentina,2570000,Cooking Oil,VITD,VIT. D,IU/kg,0
Armenia,2511,Wheat,FE,IRON,mg/kg,0
Armenia,2511,Wheat,FOL,FOLIC ACID,mg/kg,0
Armenia,2511,Wheat,ZN,ZINC,mg/kg,0
Armenia,2511,Wheat,VITB12,B12,mg/kg,0
Armenia,2511,Wheat,VITA_RAE,VIT. A,_g RAE/kg,0
Armenia,2511,Wheat,THIA,THIAMIN (B1),mg/kg,0
Armenia,2511,Wheat,RIBF,RIBOFLAVIN (B3),mg/kg,0
Armenia,2511,Wheat,NIA,NIACIN (B3),mg/kg,0
Armenia,2511,Wheat,VITD,VIT. D,IU/kg,0
Armenia,2514,Maize,FE,IRON,mg/kg,0
Armenia,2514,Maize,FOL,FOLIC ACID,mg/kg,0
Armenia,2514,Maize,ZN,ZINC,mg/kg,0
Armenia,2514,Maize,VITB12,B12,mg/kg,0
Armenia,2514,Maize,VITA_RAE,VIT. A,_g RAE/kg,0
Armenia,2514,Maize,THIA,THIAMIN (B1),mg/kg,0
Armenia,2514,Maize,RIBF,RIBOFLAVIN (B3),mg/kg,0
Armenia,2514,Maize,NIA,NIACIN (B3),mg/kg,0
Armenia,2514,Maize,VITD,VIT. D,IU/kg,0
Armenia,2805,Rice,FE,IRON,mg/kg,0
Armenia,2805,Rice,FOL,FOLIC ACID,mg/kg,0
Armenia,2805,Rice,ZN,ZINC,mg/kg,0
Armenia,2805,Rice,VITB12,B12,mg/kg,0
Armenia,2805,Rice,VITA_RAE,VIT. A,_g RAE/kg,0
Armenia,2805,Rice,THIA,THIAMIN (B1),mg/kg,0
Armenia,2805,Rice,RIBF,RIBOFLAVIN (B3),mg/kg,0
Armenia,2805,Rice,NIA,NIACIN (B3),mg/kg,0
Armenia,2805,Rice,VITD,VIT. D,IU/kg,0
Armenia,2848,Milk,FE,IRON,mg/kg,0
Armenia,2848,Milk,FOL,FOLIC ACID,mg/kg,0
